,Convert to categorical,,,,,,,,,,,,,,,,,,,,,,,,,,,
WeighBoat Code,OM%,% C,% N,Mangrove,Site,Avg OM,Avg %C,AVG %C,STD,Mangrove,Red Mangrove,,Black Mangrove,,,,,,site,OM% average,%N avg,Porosity,Leaf Litter,Crab Hole,Pneu,Mangrove,% N,STD
R SUN REDO 1A,9.905556776,3.136675291,167.670554,Red Mangrove,RSUN,11.92652078,3.618675207,3.774006803,1.606836687,Red mangrove,3.77,Black Mangrove,3.28,,,,,,R SUN,12,201.9501455,54,1.5,5.75,25,Red Mangrove,222.626466,118.9225041
R SUN REDO 1B,14.00130447,4.113511116,237.1426264,,RMON,15.02978644,4.358804067,,2.38807061,Black Mangrove,3.28,,,,,,,,R MON,15,248.3144977,61,2,10.7,15,Black Mangrove,168.9672945,154.3270246
R SUN REDO 1C,11.8727011,3.605839213,201.0372561,,RTAN,6.796992336,2.395282672,,,,,,,,,,,,R TAN,7,114.943084,41,0.08,13.7,13.7,,,
,,,-0.3475,,RLOB,26.59340479,7.116727043,,,,,,,,,,,,R LOB,27,450.7298321,77,1,21,5,,,
,,,-0.3475,,RTOY,9.254403019,2.98137512,,,,,,,,,,,,R TOY,9,156.625684,45,0.4,6.7,10,,,
,,,-0.3475,,RSTR,16.32951876,4.668790224,,,,,,,,,,,,R STR,16,276.6337972,56,1.6,7.3,2.7,,,
,,,-0.3475,,RFRI,6.457712643,2.314364465,,,,,,,,,,,,R FRI,6,109.1882219,40,1,11.7,13.3,,,
,,,-0.3475,,BSUN,8.234111645,2.738035627,,,,,,,,,,,,B SUN,8,139.3195017,52,1.8,3,2.3,,,
,,,-0.3475,,BTAN,6.268072565,2.269135307,,,,,,,,,,,,B TAN,6,105.9715469,40,0.6,5.3,53.7,,,
,,,-0.3475,Black Mangrove,BLOB,28.41973767,7.552307433,3.285003052,,,,,,,,,,,B LOB,28,481.7080903,72,2.8,6.3,43,,,
,,,-0.3475,,BTOY,6.13652625,2.237761511,,,,,,,,,,,,B TOY,6,109.3037848,42,0.9,2.7,26.7,,,
,,,-0.3475,,BSTR,8.701718089,2.330719823,,,,,,,,,,,,B STR,9,88.17439684,52,2.3,9.3,51.7,,,
R TOY 2A,2.258520718,1.312857191,37.96152843,,,,,,,,,,,,,,,5.824944286,14.20408622,,,,,,,,,
R TOY 2B,8.183330812,2.725924399,138.4581572,,,,,,,,,,,,,,,6.717152594,14.58488073,,,,,,,,,
R TOY 2C,10.97243557,3.391125883,185.7669521,,,,,,,,,,,,,,,7.734239911,15.01897359,,,,,,,,,
R TOY 3A,14.04471768,4.123865166,237.8790013,,,,,,,,,,,,,,,5.578861346,14.09905802,,,,,,,,,
R TOY 3B,11.5178272,3.521201788,195.017885,,,,,,,,,,,,,,,5.89108243,14.23231398,,,,,,,,,
R TOY 3C,7.491695843,2.560969459,126.7266449,,,,,,,,,,,,,,,7.678815625,14.99531851,,,,,,,,,
R STR 1A,12.74211503,3.813194434,215.7842551,,,,,,,,,,,,,,,21.210335,20.77057098,,,,,,,,,
R STR 1B,21.70455957,5.950737458,367.8052395,,,,,,,,,,,,,,,31.09846204,24.9908236,,,,,,,,,
R STR 1C,17.94549084,5.054199566,304.0439157,,,,,,,,,,,,,,,30.52485697,24.74600895,,,,,,,,,
R STR 2A,9.788102969,3.108662558,165.6783026,,,,,,,,,,,,,,,18.57694481,19.64664005,,,,,,,,,
R STR 2B,8.068818751,2.698613272,136.5158037,,,,,,,,,,,,,,,27.54460665,23.47403812,,,,,,,,,
R STR 2C,5.816206844,2.161365332,98.30700048,,,,,,,,,,,,,,,38.52300909,28.15962028,,,,,,,,,
R STR 3A,45.25870781,11.56840181,767.3307018,,,,,,,,,,,,,,,19.78321678,20.16147692,,,,,,,,,
R STR 3B,10.88293492,3.369779978,184.2488421,,,,,,,,,,,,,,,25.13267627,22.44462623,,,,,,,,,
R STR 3C,14.75873208,4.294157601,249.9901136,,,,,,,,,,,,,,,26.94653552,23.21878136,,,,,,,,,
R FRI 1A,4.626154962,1.877537958,78.12134047,,,,,,,,,,,,,,,3.051856095,13.02053218,,,,,,,,,
R FRI 1B,5.024833805,1.972622862,84.88373099,,,,,,,,,,,,,,,12.07925697,16.87342687,,,,,,,,,
R FRI 1C,12.5692186,3.771958636,212.8515859,,,,,,,,,,,,,,,13.68998628,17.56088615,,,,,,,,,
R FRI 2A,3.639440949,1.642206666,61.38469737,,,,,,,,,,,,,,,2.258520718,12.68193664,,,,,,,,,
R FRI 2B,4.451982192,1.835997753,75.16702194,,,,,,,,,,,,,,,8.183330812,15.21064559,,,,,,,,,
R FRI 2C,9.969654824,3.151962675,168.7577851,,,,,,,,,,,,,,,10.97243557,16.4010355,,,,,,,,,
R FRI 3A,5.794073432,2.156086514,97.93157356,,,,,,,,,,,,,,,14.04471768,17.71228551,,,,,,,,,
R FRI 3B,5.677668791,2.128324007,95.95711803,,,,,,,,,,,,,,,11.5178272,16.63380865,,,,,,,,,
R FRI 3C,6.366386237,2.292583117,107.6391434,,,,,,,,,,,,,,,7.491695843,14.91545579,,,,,,,,,
B SUN REDO 1A,9.916738065,3.139342029,167.8602111,,,,,,,,,,,,,,,12.74211503,17.15633469,,,,,,,,,
B SUN REDO 1B,15.39198249,4.445187823,260.731307,,,,,,,,,,,,,,,21.70455957,20.98150603,,,,,,,,,
B SUN REDO 1C,12.61598567,3.783112583,213.644849,,,,,,,,,,,,,,,17.94549084,19.37713549,,,,,,,,,
B SUN 1A,5.933594757,2.18936235,100.2981343,,,,,,,,,,,,,,,9.788102969,15.89556235,,,,,,,,,
B SUN 1B,6.267858228,2.269084187,105.9679113,,,,,,,,,,,,,,,8.068818751,15.16177184,,,,,,,,,
B SUN 1C,7.086934265,2.464433822,119.861079,,,,,,,,,,,,,,,5.816206844,14.20035708,,,,,,,,,
B SUN 2A,7.377341205,2.533695877,124.7869615,,,,,,,,,,,,,,,45.25870781,31.03441649,,,,,,,,,
B SUN 2B,8.019303472,2.686803878,135.6759255,,,,,,,,,,,,,,,10.88293492,16.36283662,,,,,,,,,
B SUN 2C,8.333850932,2.761823447,141.0112795,,,,,,,,,,,,,,,14.75873208,18.01702685,,,,,,,,,
B SUN 3A,4.266573635,1.791777812,72.022122,,,,,,,,,,,,,,,4.626154962,13.69244294,,,,,,,,,
B SUN 3B,6.758043023,2.385993261,114.2824258,,,,,,,,,,,,,,,5.024833805,13.86259907,,,,,,,,,
B SUN 3C,6.841133989,2.405810456,115.6918147,,,,,,,,,,,,,,,12.5692186,17.0825425,,,,,,,,,
B MON 1A,62.05103262,15.57337128,1052.162115,,,,,,,,,,,,,,,3.639440949,13.2713134,,,,,,,,,
B MON 1B,60.13175575,15.11562375,1019.607341,,,,,,,,,,,,,,,4.451982192,13.618106,,,,,,,,,
B MON 1C,61.5372056,15.45082354,1043.446581,,,,,,,,,,,,,,,9.969654824,15.97304868,,,,,,,,,
B MON 2A,62.14186474,15.59503474,1053.70281,,,,,,,,,,,,,,,5.794073432,14.19091054,,,,,,,,,
B MON 2B,73.14936411,18.22032334,1240.412014,,,,,,,,,,,,,,,5.677668791,14.14122904,,,,,,,,,
B MON 2C,67.33550833,16.83371874,1141.797392,,,,,,,,,,,,,,,6.366386237,14.43517365,,,,,,,,,
B MON 3A,65.27188028,16.34154345,1106.794133,,,,,,,,,,,,,,,9.916738065,15.95046381,,,,,,,,,
B MON 3B,70.28113265,17.53625014,1191.761072,,,,,,,,,,,,,,,15.39198249,18.28729813,,,,,,,,,
B MON 3C,71.08803834,17.72869714,1205.447806,,,,,,,,,,,,,,,12.61598567,17.10250269,,,,,,,,,
B TAN 1A,4.890733132,1.940639852,82.60911539,,,,,,,,,,,,,,,5.933594757,14.25045824,,,,,,,,,
B TAN 1B,3.951359622,1.71659927,66.67546191,,,,,,,,,,,,,,,6.267858228,14.39312189,,,,,,,,,
B TAN 1C,6.11814346,2.233377215,103.4284494,,,,,,,,,,,,,,,7.086934265,14.74270354,,,,,,,,,
B TAN 2A,3.786177162,1.677203253,63.87363701,,,,,,,,,,,,,,,7.377341205,14.86664923,,,,,,,,,
B TAN 2B,7.50993018,2.565318348,127.0359357,,,,,,,,,,,,,,,8.019303472,15.14063872,,,,,,,,,
B TAN 2C,8.697662132,2.848592418,147.1822451,,,,,,,,,,,,,,,8.333850932,15.27488758,,,,,,,,,
B TAN 3A,3.934011789,1.712461812,66.38120797,,,,,,,,,,,,,,,4.266573635,13.53897363,,,,,,,,,
B TAN 3B,8.506381138,2.802971901,143.9377369,,,,,,,,,,,,,,,6.758043023,14.60233276,,,,,,,,,
B TAN 3C,9.018254473,2.925053692,152.6201324,,,,,,,,,,,,,,,6.841133989,14.63779599,,,,,,,,,
B LOB 1A,24.86114325,6.703582666,421.3472119,,,,,,,,,,,,,,,62.05103262,38.20138072,,,,,,,,,
B LOB 1B,27.8351134,7.412874547,471.7916936,,,,,,,,,,,,,,,60.13175575,37.38223335,,,,,,,,,
B LOB 1C,3.23045672,1.544663928,54.44750688,,,,,,,,,,,,,,,61.5372056,37.98207935,,,,,,,,,
B LOB 2A,31.85997412,8.372803828,540.061381,,,,,,,,,,,,,,,62.14186474,38.24014787,,,,,,,,,
B LOB 2B,57.07544875,14.38669453,967.7662617,,,,,,,,,,,,,,,73.14936411,42.9381486,,,,,,,,,
B LOB 2C,33.54066986,8.773649761,568.5693421,,,,,,,,,,,,,,,67.33550833,40.45679495,,,,,,,,,
B LOB 3A,25.27086243,6.801300689,428.2968685,,,,,,,,,,,,,,,65.27188028,39.5760385,,,,,,,,,
B LOB 3B,25.75696731,6.917236704,436.5421795,,,,,,,,,,,,,,,70.28113265,41.71398742,,,,,,,,,
B LOB 3C,26.34700315,7.057960252,446.5503675,,,,,,,,,,,,,,,71.08803834,42.05837476,,,,,,,,,
B TOY 1A- very shelly ,,0.7742,-0.3475,,,,,,,,,,,,,,,4.890733132,13.8053649,,,,,,,,,
B TOY 1B- shelly,,0.7742,-0.3475,,,,,,,,,,,,,,,3.951359622,13.40444029,,,,,,,,,
B TOY 1C- shelly,,0.7742,-0.3475,,,,,,,,,,,,,,,6.11814346,14.32922363,,,,,,,,,
BTOY2A,1.796888968,1.202758019,30.13133068,,,,,,,,,,,,,,,3.786177162,13.33394041,,,,,,,,,
B TOY 2B,3.013320086,1.49287684,50.76443529,,,,,,,,,,,,,,,7.50993018,14.9232382,,,,,,,,,
B TOY 2C,8.781096204,2.868491445,148.5974538,,,,,,,,,,,,,,,8.697662132,15.4301622,,,,,,,,,
B TOY 3A- SMELL BAD,11.41219222,3.496007844,193.2261044,,,,,,,,,,,,,,,3.934011789,13.39703623,,,,,,,,,
B TOY 3B,7.319130985,2.51981274,123.7995998,,,,,,,,,,,,,,,8.506381138,15.34852347,,,,,,,,,
B TOY 3C,4.496529038,1.846622175,75.92262554,,,,,,,,,,,,,,,9.018254473,15.56699101,,,,,,,,,
B STR 1A,9.027173387,2.927180853,152.771415,,,,,,,,,,,,,,,24.86114325,22.32873594,,,,,,,,,
B STR 1B,-5.240784214,-0.475727035,-89.24168184,,,,,,,,,,,,,,,27.8351134,23.5980264,,,,,,,,,
B STR 1C,5.670888883,2.126706999,95.84211723,,,,,,,,,,,,,,,3.23045672,13.09675893,,,,,,,,,
B STR 2A,,0.7742,-0.3475,,,,,,,,,,,,,,,31.85997412,25.31583695,,,,,,,,,
B STR 2B,16.39836464,4.685209966,277.8015609,,,,,,,,,,,,,,,57.07544875,36.07780153,,,,,,,,,
B STR 2C,13.29101626,3.944107377,225.0947178,,,,,,,,,,,,,,,33.54066986,26.03315789,,,,,,,,,
B STR 3A,,0.7742,-0.3475,,,,,,,,,,,,,,,25.27086243,22.50360408,,,,,,,,,
